time,ego_velocity,leader_velocity,ego_acceleration,leader_acceleration,space_gap
0.0,32.493,31.043,0.0,0.0,72.653
0.1,32.493,31.043,0.0,0.0,72.50800000000001
0.2,32.4797000011986,31.04,-0.13299998801398177,-0.030000000000001137,72.36351499994008
0.3,32.460730002913486,31.035,-0.1896999828511839,-0.049999999999990066,72.22024349973448
0.4,32.43665700510041,31.023,-0.24072997813080926,-0.1200000000000045,72.07827414933378
0.5,32.40799130771874,31.011,-0.2866569738167019,-0.12000000000000458,71.93774173369282
0.6,32.37519218073473,31.002,-0.3279912698401148,-0.09000000000000342,71.79923255927014
0.7,32.338672967122676,30.992,-0.3651921361205097,-0.09999999999998013,71.66323930187727
0.8,32.29880567556205,30.98,-0.39867291560625,-0.12000000000000444,71.52996536974304
0.9,32.25592511386645,30.969,-0.42880561695607455,-0.10999999999999235,71.39967883027161
1.0,32.210332609072495,30.958,-0.45592504793951977,-0.11000000000002788,71.27271594412467
1.1,32.16229935551746,30.945,-0.48033253555036315,-0.12999999999998113,71.14923434589517
1.2,32.11206942810803,30.93,-0.5022992740943344,-0.15000000000000588,71.02926590671389
1.3,32.05986249426367,30.914,-0.5220693384436049,-0.15999999999998224,70.9128693105953
1.4,32.00587625466684,30.9,-0.5398623959683161,-0.14000000000002918,70.80028237314878
1.5,31.95028863994137,30.887,-0.5558761472546627,-0.12999999999998113,70.69182412841836
1.6,31.893259787659648,30.873,-0.5702885228172232,-0.13999999999999335,70.5876467070383
1.7,31.83493382164752,30.86,-0.583259660121287,-0.13000000000001694,70.48788702657295
1.8,31.77595061996498,30.846,-0.5898320168253963,-0.13999999999999335,70.39264280449233
1.9,31.717232896689392,30.833,-0.5871772327558918,-0.13000000000001694,70.30193362865961
2.0,31.659552403907984,30.82,-0.5768049278140863,-0.12999999999998113,70.21574436362974
2.1,31.60351891756176,30.808,-0.5603348634622466,-0.12000000000000444,70.13399079755625
2.2,31.549608952132502,30.799,-0.5390996542926002,-0.09000000000000333,70.05668440407153
2.3,31.4982133028019,30.789,-0.5139564933059962,-0.09999999999998047,69.98369329132481
2.4,31.449601274522582,30.772,-0.4861202827932024,-0.17000000000003,69.91435256245859
2.5,31.40387435973791,30.751,-0.45726914784672634,-0.20999999999997224,69.84782878074556
2.6,31.361032541775828,30.735,-0.42841817962082734,-0.16000000000001777,69.78388343566988
2.7,31.321093504392618,30.729,-0.39939037383208953,-0.06000000000000222,69.72297713336145
2.8,31.28414595761977,30.714,-0.3694754677284891,-0.1500000000000062,69.66486516026083
2.9,31.250132161653706,30.693,-0.340137959660656,-0.20999999999997224,69.60850125429715
3.0,31.218900871313533,30.674,-0.3123129034017386,-0.19000000000001888,69.5533996026488
3.1,31.19030688439181,30.664,-0.2859398692172263,-0.09999999999998002,69.49983921486353
3.2,31.164287995291915,30.657,-0.26018889099895726,-0.07000000000001444,69.44815947087935
3.3,31.14079227520665,30.645,-0.23495720085265487,-0.12000000000000498,69.39800545735442
3.4,31.11964612712991,30.631,-0.21146148076738938,-0.13999999999999335,69.34878353723758
3.5,31.100614593860847,30.618,-0.19031533269065046,-0.13000000000001666,69.30022050118804
3.6,31.08348621391869,30.605,-0.17128379942158542,-0.12999999999998113,69.25216546079906
3.7,31.068070671970748,30.593,-0.15415541947942688,-0.12000000000000444,69.2044876165046
3.8,31.0541966842176,30.577,-0.1387398775314842,-0.15999999999998293,69.15687424869517
3.9,31.041710095239768,30.556,-0.12486588977833578,-0.21000000000000776,69.1087289097223
4.0,31.041710095239768,30.535,0.0,-0.21000000000000776,69.05910790019833
4.1,31.041710095239768,30.52,0.0,-0.1500000000000062,69.00768689067435
4.2,31.041710095239768,30.509,0.0,-0.10999999999999174,68.95496588115037
4.3,31.041710095239768,30.496,0.0,-0.13000000000001724,68.9010448716264
4.4,31.041710095239768,30.484,0.0,-0.11999999999996838,68.84587386210242
4.5,31.041710095239768,30.472,0.0,-0.12000000000000498,68.78950285257845
4.6,31.041710095239768,30.46,0.0,-0.12000000000000498,68.73193184305447
4.7,31.041710095239768,30.446,0.0,-0.1399999999999927,68.67306083353049
4.8,31.041710095239768,30.43,0.0,-0.16000000000001846,68.61268982400651
4.9,31.041710095239768,30.416,0.0,-0.1399999999999927,68.55081881448253
5.0,31.041710095239768,30.404,0.0,-0.12000000000000498,68.48764780495856
5.1,31.041710095239768,30.392,0.0,-0.12000000000000498,68.42327679543457
5.2,31.041710095239768,30.382,0.0,-0.09999999999997958,68.3578057859106
5.3,31.041710095239768,30.372,0.0,-0.10000000000001599,68.29133477638662
5.4,31.02968577603504,30.364,-0.12024319204726891,-0.07999999999999076,68.22456498282288
5.5,31.0170276705885,30.359,-0.12658105446541723,-0.04999999999999023,68.15837931049171
5.6,31.003888207510236,30.354,-0.13139463078266175,-0.05000000000002576,68.09298351658677
5.7,30.990409492201273,30.349,-0.13478715308962022,-0.04999999999998979,68.0284186316012
5.8,30.976722643295208,30.342,-0.13686848906064036,-0.07000000000001474,67.96461202482638
5.9,30.962924653997856,30.333,-0.13797989297352484,-0.09000000000000292,67.90137965996172
6.0,30.949081061299935,30.32,-0.13843592697919627,-0.1299999999999817,67.83842937419683
6.1,30.935205972892014,30.306,-0.13875088407922714,-0.13999999999999396,67.77551502248724
6.2,30.921301125025124,30.301,-0.13904847866888606,-0.050000000000025316,67.71303966759139
6.3,30.907469939502725,30.299,-0.13831185522400682,-0.019999999999988985,67.651601114365
6.4,30.893837573537557,30.298,-0.13632365965168938,-0.010000000000012168,67.59138573871297
6.5,30.88052459158109,30.292,-0.13312981956468395,-0.05999999999996696,67.53216763045704
6.6,30.867579916188532,30.283,-0.1294467539255561,-0.09000000000000373,67.47351240506856
